"Broad Sector ","Subsector ","Indicator ","Type"
"Humanitarian","Food and Nutrition","All targeted populations meet some or all their basic food needs and other livelihood needs (e.g., productive assets, health, education, transportation, shelter, transport) through purchase from the local markets","Output"
"Humanitarian","Food and Nutrition","Caregivers of infants and young children have access to timely and appropriate, nutritionally and safe complementary foods (6 months)","Outcome"
"Humanitarian","Food and Nutrition","Change (%) in yield of staple crops in country/ region/ district","Outcome"
"Humanitarian","Food and Nutrition","Food aid recipients receive food that is “fit for purpose”: for safety, food should not pose a risk to health; for quality, food should match specification and be nutritious","Output"
"Humanitarian","Food and Nutrition","Food purchased locally, as % of food distributed in-country","Outcome"
"Humanitarian","Food and Nutrition","Household food consumption score","Outcome"
"Humanitarian","Food and Nutrition","Market price trend of livestock/ grain ratio","Outcome"
"Humanitarian","Food and Nutrition","Mean weight gain of children being treated for severe acute malnutrition","Output"
"Humanitarian","Food and Nutrition","More than 90% of the target population is within <1 day’s return walk (including time for treatment) of the site for dry ration supplementary feeding programmes and no more than 1 hour’s walk for on-site supplementary feeding programmes","Outcome"
"Humanitarian","Food and Nutrition","Number of people assisted by food assistance, food or cash transfer programme or food security programmes","Output"
"Humanitarian","Food and Nutrition","Number of: cattle distributed; certified quality seeds produced; trained people in agriculture; tonnes of food distributed","Outcome"
"Humanitarian","Food and Nutrition","Prevalence of acute malnutrition among children under 5 (weight for height as a %)","Outcome"
"Humanitarian","Food and Nutrition","Prevalence of low mid-upper arm circumference (MUAC)","Outcome"
"Humanitarian","Food and Nutrition","Proportion (%) of h/h expenditure on food","Outcome"
"Humanitarian","Food and Nutrition","There is access to a range of foods – including a staple (cereal or tuber), pulses (or animal products) and fat sources – that together meet nutritional requirements","Outcome"
"Humanitarian","Health","CFR for most common diseases","Outcome"
"Humanitarian","Health","Coverage of tetanus vaccination during pregnancy percentage of pregnant women with TT2 vaccination)","Output"
"Humanitarian","Health","Crude mortality rate","Outcome"
"Humanitarian","Health","Health workers trained to detect signs of sexual abuse or violence","Output"
"Humanitarian","Health","Number of cases or incidence of sexual violence","Outcome"
"Humanitarian","Health","Number of emergency obstetric care facilities per 500,000 of the population and number offering comprehensive care","Output"
"Humanitarian","Health","Number of family planning service delivery providers providing at least three methods of FP","Output"
"Humanitarian","Health","Number of households sprayed/insecticide treated bed nets distributed","Output"
"Humanitarian","Health","Number of people with access to a basic package of health services","Output"
"Humanitarian","Health","Percentage of population with severe difficulties in functioning","Outcome"
"Humanitarian","Health","Proportion of people with <15 litres of water per day","Outcome"
"Humanitarian","Health","Proportional mortality","Outcome"
"Humanitarian","Health","Under 5 mortality rate","Outcome"
"Humanitarian","Logistics","Annual cost of warehousing","Output"
"Humanitarian","Logistics","Cost per tonne of transport by air (annual average)","Output"
"Humanitarian","Logistics","Cost per tonne of transport by road (annual average)","Output"
"Humanitarian","Logistics","Cost per tonne of transport by sea (annual average)","Output"
"Humanitarian","Logistics","Number of consignments able to be tracked through to beneficary","Output"
"Humanitarian","Logistics","Number of contracts adhering to approved procedures","Output"
"Humanitarian","Logistics","Number of contracts fulfilled on schedule","Output"
"Humanitarian","Logistics","Number of contracts showing consideration for CSR issues","Output"
"Humanitarian","Logistics","Number of contracts with definable evaluation criteria","Output"
"Humanitarian","Logistics","Number of contracts with inspection clauses","Output"
"Humanitarian","Logistics","Number of deliveries not made according to time forecast","Output"
"Humanitarian","Logistics","Number of items held in dedicated warehouse space","Output"
"Humanitarian","Logistics","Number of items held in shared humanitarian warehouses","Output"
"Humanitarian","Logistics","Number of Procurement contracts issued not meeting internationally agreed quality standards","Output"
"Humanitarian","Logistics","Percentage change in costs of warehousing (pro rata, depending on volume and value held","Outcome"
"Humanitarian","Logistics","Percentage change in value of stocks held but not used in one calendar year","Outcome"
"Humanitarian","Logistics","Percentage change in value of stocks held. Disaggregate between shared and dedicated warehouse space","Outcome"
"Humanitarian","Logistics","Percentage improvement in cost/tonne ratio - air transport","Outcome"
"Humanitarian","Logistics","Percentage improvement in cost/tonne ratio - road transport","Outcome"
"Humanitarian","Logistics","Percentage improvement in cost/tonne ratio - sea transport","Outcome"
"Humanitarian","Logistics","Percentage improvement in deliveries on time","Outcome"
"Humanitarian","Logistics","Percentage improvement in time taken for stocks to leave the premises. Disggregated between shared and wholly dedicated warehouses","Outcome"
"Humanitarian","Logistics","Percentage increase in acceptable procurement contracts","Outcome"
"Humanitarian","Logistics","Percentage increase in consignments delivered through common systems","Outcome"
"Humanitarian","Logistics","Percentage increase in number of consignments able to be fully tracked","Outcome"
"Humanitarian","Logistics","Percentage increase in number of contracts adhering to approved procedures","Outcome"
"Humanitarian","Logistics","Percentage increase in number of contracts with definable evaluation criteria","Outcome"
"Humanitarian","Logistics","Percentage increase in number of contracts with inspection clauses","Outcome"
"Humanitarian","Logistics","Percentage increase in number of cotnracts fulfilled on schedule","Outcome"
"Humanitarian","Logistics","Percentage of commdities delivered through consolidated / common systems","Output"
"Humanitarian","Logistics","Percentage reduction in time goods await onward movement form 1st port of entry","Outcome"
"Humanitarian","Logistics","Time taken for the first element of a consignment to leave the premises. Disggregated between shared and wholly dedicated warehouses","Output"
"Humanitarian","Logistics","Time taken to move consignments forward from 1st port of entry","Output"
"Humanitarian","Protection","% of population that has received updated information regarding relief activities","Outcome"
"Humanitarian","Protection","% of the displaced population who return voluntarily, safely and in dignity","Outcome"
"Humanitarian","Protection","% of the women and men who recognise the threats of sexual violence and know how to limit the risks","Outcome"
"Humanitarian","Protection","%/number of population enabled to resume normal way of life due to reduced risk of exposure to mines and unexploded ordinances","Outcome"
"Humanitarian","Protection","Assistance and protection are delivered in a neutral, impartial and proportional manner","Outcome"
"Humanitarian","Protection","Authorities adopt steps to address the causes of displacement","Outcome"
"Humanitarian","Protection","Evidence that IHL dissemination is now underway in the targeted group and is","Output"
"Humanitarian","Protection","Level of unimpeded access to international/national humanitarian organisations to all those people affected","Output"
"Humanitarian","Protection","Number and % of target population reporting increased access to GBV based services","Output"
"Humanitarian","Protection","Number and types of security incidents reported by women and men (e.g. sexual assault, bombings, child soldiers, arbitariry detention etc.)","Outcome"
"Humanitarian","Protection","Number of civilians estimated killed, maimed and injured by violence","Output"
"Humanitarian","Protection","Number of reports of sexual violence per x number of men and women","Outcome"
"Humanitarian","Protection","Numbers of policies/procedures/practices modified in accordance with protection principles (e.g., Guiding Principles on Internal Displacement; Human Rights Law; International Humanitarian Law)","Outcome"
"Humanitarian","Protection","Perception of the affected population regarding information provision","Outcome"
"Humanitarian","Protection","Reduced sense of fear, growing sense of safety, recovered dignity","Outcome"
"Humanitarian","Protection","There is a functioning system to issue registration documents to all affected population","Outcome"
"Humanitarian","Shelter","A shelter, settlement and reconstruction plan (with explicit targets and timeframes) for all shelter-affected displaced and non-displaced updated regularly by the affected population, humanitarian, developmental and governmental stakeholders.","Output"
"Humanitarian","Shelter","An understanding is maintained of the economic context (livelihoods and the construction industry) and the impacts to both of shelter","Output"
"Humanitarian","Shelter","Assistance is offered in the most efficient and sustainable manner avoiding harm to livelihoods and recovery capacities.","Output"
"Humanitarian","Shelter","Capacities and resources from all stakeholders are coordinated and agreed objectives are met, ensuring the security, safety, health and well-being of displaced and non-displaced.","Outcome"
"Humanitarian","Shelter","Equitable recovery is achieved through housing for the tenant and owner affected population where housing, land and property ownership, and/or use, rights are clarified prior to occupation.","Output"
"Humanitarian","Shelter","Equitable shelter relief, recovery and reconstruction is achieved for the shelter-affected population.","Output"
"Humanitarian","Shelter","Return, host or temporary communal settlements have safe and secure accommodation and access to services and opportunities including daily livelihood activities.","Output"
"Humanitarian","Shelter","Settled disaster-affected households where the material sourcing and construction techniques minimises the adverse impact on the environment via coordinated and prioritised environmental activities","Outcome"
"Humanitarian","Shelter","Shelter and housing are constructed safely and efficiently, appropriate to culture and climate including sufficient covered living space, thermal comfort (safe and sustainable heating as required), ..","Outcome"
"Humanitarian","Shelter","The displaced shelter-affected population have somewhere to live and sufficient individual, general household, personal hygiene and shelter support items to ensure their health, dignity, safety and well-being","Outcome"
"Humanitarian","Shelter","The proportion of shelter and settlement for displaced and non-displaced that meets established technical, durability, safety and planning standards for shelter products, materials, construction and settlement planning.","Output"
"Humanitarian","Shelter","The proportion of shelter responses which meet defined environmental targets","Outcome"
"Humanitarian","Shelter","The proportion of the displaced shelter-affected population that has safe and adequate shelter and settlement responses, including appropriate and durable NFIs throughout the emergency and recovery period","Outcome"
"Humanitarian","Shelter","The proportion of the non-displaced shelter-affected population, both tenants and owners, with housing that is safe, legal, appropriate and durable","Output"
"Humanitarian","Shelter","The proportion of the shelter-affected displaced and non-displaced who are involved in planning and implementation including temporary communal settlements by family, neighbourhood or village groups, as appropriate.","Output"
"Humanitarian","Shelter","The proportion of the shelter-affected displaced and non-displaced with adequate access to essential services, including water and sanitation, community facilities, urban and rural livelihoods opportunities.","Outcome"
"Humanitarian","Shelter","The proportion of the shelter-affected displaced and non-displaced, for which there are defined financial, operational and material resources commitments for reliief, recovery and reconstruction..","Output"
"Humanitarian","Shelter","The proportion of the shelter-affected displaced and non-displaced, whose risks from hazards are managed.","Output"
"Humanitarian","Shelter","The shelter-affected displaced and non-displaced are able to manage their vulnerability to hazards supporting their sustainable recovery.","Outcome"
"Humanitarian","WASH","Access to a refuse container which is emptied a minimum of twice per week; and are no more than 100 metres from a communal refuse pit.","Output"
"Humanitarian","WASH","All facilties are appropriately used and maintained.","Output"
"Humanitarian","WASH","Appropriate vector control measures in place.","Output"
"Humanitarian","WASH","Average water use for drinking, cooking, and personal hygiene (litres per person per day).","Output"
"Humanitarian","WASH","Number and percent of appropriate excreta containment facilities built.","Outcome"
"Humanitarian","WASH","Number of hygiene items (cooking, washing and bathing facilities and material) distributed that meet the immediate needs of the community.","Output"
"Humanitarian","WASH","Spare parts, training and maintenance plans in place.","Outcome"
"Humanitarian","WASH","The number of appropriately designed, sized and durable water carrying and water storage containers distributed (with covers).","Output"
"Humanitarian","WASH","The proportion of affected population that are able to dwell in a health or other risk free environment without the threats caused by water erosion and/or standing water resulting from floods, stormwater runoff and wastewater discharge.","Outcome"
"Humanitarian","WASH","The proportion of affected population that are able to dwell in an environment which is uncontaminated by waste and have the means to dispose of their domestic waste conveniently and effectively.","Outcome"
"Humanitarian","WASH","The proportion of affected population that have access to hygiene items to ensure personal hygiene, health, dignity and well being.","Outcome"
"Humanitarian","WASH","The proportion of affected population who have good, equitable, and safe access to water of sufficient quantity and quality for drinking, cooking, personal and domestic hygiene.","Outcome"
"Humanitarian","WASH","The proportion of affected population whose health is protected by the safe management and control, to acceptable levels, of disease vectors without introducing resistance to substances used.","Output"
"Humanitarian","WASH","Water is palatable and of sufficient quality to be drunk and used for personal and domestic hygiene without causing risk to health.","Outcome"
"Humanitarian","WASH","Well planned, built and maintained drainage systems.","Output"
"Humanitarian","WASH","Zero faecal coliforms per 100ml of water at the point of delivery.","Output"
