"Broad Sector ","Subsector ","Indicator ","Type"
"Governance and Conflict","Political Party Support","Proportion of political party membership given votes in internal decision making","Output"
"Governance and Conflict","Public Financial Management","Level of improvement of Public Expenditure Financial Accountability (PEFA) indicator.","Output"
"Governance and Conflict","Public Financial Management","Number of appeals investigated by relevant tender supervisory body","Outcome"
"Governance and Conflict","Public Financial Management","Percentage tenders published, including with clear conditions and criteria","Output"
"Governance and Conflict","Security and Justice Sector","Average numbers in prison cells (against international standards)","Outcome"
"Governance and Conflict","Security and Justice Sector","Confidence in formal systems - Percentage of complaints on 'less serious' issues","Outcome"
"Governance and Conflict","Security and Justice Sector","Length of judgement/appeals processes","Output"
"Governance and Conflict","Security and Justice Sector","Length of pre-trial detention","Output"
"Governance and Conflict","Security and Justice Sector","Number of cases resolved using alternative dispute resolution mechanisms","Output"
"Governance and Conflict","Security and Justice Sector","Number of CSOs consulted on policy development","Outcome"
"Governance and Conflict","Security and Justice Sector","Numbers of rapes per capita prison population (disaggregate)","Outcome"
"Governance and Conflict","Security and Justice Sector","Per capita military expenditure (or Percentage of GDP)","Output"
"Governance and Conflict","Security and Justice Sector","Percentage of citizens satisfied with (formal/informal) S&J performance (disaggregate)","Outcome"
"Governance and Conflict","Security and Justice Sector","Percentage of citizens who pay a bribe to access police/judicial services (disaggregate)","Output"
"Governance and Conflict","Security and Justice Sector","Percentage of citizens who say they feel safe in their community (disaggregate)","Output"
"Governance and Conflict","Security and Justice Sector","Percentage of citizens who say they have access to (formal/informal) court systems to resolve disputes (disaggregate)","Output"
"Governance and Conflict","Security and Justice Sector","Prevalence of infectious disease/malnutrition in prison population (disaggregate)","Outcome"
"Governance and Conflict","Security and Justice Sector","Ratio of military personnel: population size.","Output"
"Governance and Conflict","Tax/Revenue","Cost of setting up a business","Output"
"Governance and Conflict","Tax/Revenue","Length of time to set up a business","Output"
"Governance and Conflict","Tax/Revenue","Level of uniformity of tax collection","Outcome"
"Governance and Conflict","Tax/Revenue","Levels of public access to tax information","Output"
"Governance and Conflict","Tax/Revenue","Percentage of business paying bribes to avoid taxation","Output"
"Governance and Conflict","Tax/Revenue","Percentage of business satisfaction with tax system","Output"
"Governance and Conflict","Tax/Revenue","Percentage of citizens aware of importance of taxation","Outcome"
"Governance and Conflict","Tax/Revenue","Percentage of tax authority staff trained","Output"
"Governance and Conflict","Tax/Revenue","Tax laws non-discriminatory","Output"
"Governance and Conflict","Voice and Accountability","Legal protection for Civil Society Organisations (CSOs)","Outcome"
"Governance and Conflict","Voice and Accountability","Number of Cvil Society Organisations reporting intimidation for pursuing their activities","Outcome"
"Governance and Conflict","Voice and Accountability","Percentage of citizens (and/ or CSOs) satisfied their voice is heard by formal institutions (Disaggregate)","Outcome"
"Governance and Conflict","Voice and Accountability","Percentage of citizens reporting awareness (Awareness of rights/impact of corruption)","Outcome"
"Governance and Conflict","Voice and Accountability","Percentage of citizens satisfied with Civil Society Organisations performance (Disaggregate)","Outcome"
"Governance and Conflict","Voice and Accountability","Percentage of CSO staff understand their role/ are trained","Output"
"Governance and Conflict","Voice and Accountability","Percentage of CSO staff understand their role/ are trained.","Output"
"Governance and Conflict","Voice and Accountability","Percentage of public service information publicly displayed","Output"
